instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_label,month_label,year_label,workingday_label,temp_c,atemp_c,hum_pct,wind_kmh
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Spring,Mist/Cloudy,Thursday,Jan,2011,Working Day,4.298349,0.8333000000000013,53.833299999999994,13.125568
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Spring,Clear,Friday,Jan,2011,Working Day,0.34249999999999936,-5.583022,45.7083,23.667214
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Spring,Clear,Saturday,Jan,2011,Weekend/Holiday,-5.2208711999999995,-10.7814064,40.0,11.52199
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Spring,Clear,Sunday,Jan,2011,Weekend/Holiday,-3.4634801,-9.4766194,43.6522,16.5222
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Spring,Clear,Monday,Jan,2011,Working Day,-3.4226089,-8.21662,49.173899999999996,10.60811
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Spring,Mist/Cloudy,Tuesday,Jan,2011,Working Day,2.5034660000000013,-0.5212839999999996,61.695699999999995,8.696332
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Spring,Light Rain/Snow,Wednesday,Jan,2011,Working Day,2.2225,-2.5624000000000002,86.25,19.68795
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Spring,Clear,Thursday,Jan,2011,Working Day,1.165000000000001,-1.4998000000000005,68.75,7.627078999999999
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Spring,Mist/Cloudy,Friday,Jan,2011,Working Day,1.563466,-1.2610780000000013,79.30430000000001,8.2611
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Spring,Clear,Saturday,Jan,2011,Weekend/Holiday,1.2365340000000007,-1.9996840000000002,65.17389999999999,9.739455
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Spring,Clear,Sunday,Jan,2011,Weekend/Holiday,2.176534,0.5212520000000005,72.2174,4.956834199999999
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Spring,Mist/Cloudy,Monday,Jan,2011,Working Day,0.49915099999999946,-3.7074999999999996,60.375,12.541864
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Spring,Mist/Cloudy,Tuesday,Feb,2011,Working Day,1.032178,-0.52102,82.9565,3.565271
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Spring,Mist/Cloudy,Wednesday,Feb,2011,Working Day,4.220000000000001,0.7915220000000005,77.5417,17.708636
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Spring,Clear,Thursday,Feb,2011,Working Day,0.7869790000000005,-4.260052,43.7826,18.609384
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Spring,Mist/Cloudy,Friday,Feb,2011,Working Day,1.9312880000000003,-0.913257999999999,58.521699999999996,8.565213
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Spring,Mist/Cloudy,Saturday,Feb,2011,Weekend/Holiday,2.9666510000000006,0.041827999999998866,92.91669999999999,10.792293
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Spring,Clear,Sunday,Feb,2011,Weekend/Holiday,5.434151,3.2502860000000027,56.833299999999994,9.5006
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Spring,Clear,Monday,Feb,2011,Working Day,4.768348999999999,4.041428,73.83330000000001,3.0423561
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Spring,Clear,Tuesday,Feb,2011,Working Day,2.3791510000000002,-2.9157639999999994,53.7917,24.25065
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Spring,Mist/Cloudy,Wednesday,Feb,2011,Working Day,-1.6651990000000003,-6.477322000000001,49.4783,12.652213
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Spring,Clear,Thursday,Feb,2011,Working Day,-1.2156440000000002,-6.129832,43.7391,14.869645
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Spring,Clear,Friday,Feb,2011,Working Day,0.887277000000001,-1.9084059999999994,50.6364,7.272849999999999
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Spring,Clear,Saturday,Feb,2011,Weekend/Holiday,2.4574999999999996,-0.6250359999999997,54.4167,13.625589
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Spring,Clear,Sunday,Feb,2011,Weekend/Holiday,6.876534000000001,5.391458,45.7391,17.479160999999998
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Spring,Clear,Monday,Feb,2011,Working Day,11.504999999999999,10.2911,37.583299999999994,27.999836
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Spring,Clear,Tuesday,Feb,2011,Working Day,4.506089000000001,0.7820840000000011,31.434800000000003,19.522058
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Spring,Clear,Wednesday,Feb,2011,Working Day,6.958267000000001,4.869199999999999,42.3478,16.869996999999998
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Spring,Clear,Thursday,Feb,2011,Working Day,12.484151,12.291428,50.5,15.416968
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Spring,Clear,Friday,Feb,2011,Working Day,16.518349,17.790878,51.6667,17.749975000000003
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Spring,Clear,Saturday,Feb,2011,Weekend/Holiday,10.760849,9.832663999999998,18.7917,34.000021
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Spring,Clear,Sunday,Feb,2011,Weekend/Holiday,5.405199,2.3037799999999997,40.7826,14.956745
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Spring,Mist/Cloudy,Monday,Feb,2011,Weekend/Holiday,6.2566510000000015,2.7489500000000007,60.5,20.625682
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Spring,Clear,Tuesday,Feb,2011,Working Day,0.5644340000000003,-3.7218219999999995,57.7778,13.110761
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Spring,Clear,Wednesday,Feb,2011,Working Day,2.4217329999999997,0.21732199999999935,42.3043,6.3055710000000005
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Spring,Mist/Cloudy,Thursday,Feb,2011,Working Day,5.895644000000001,3.0866059999999997,69.7391,16.783231999999998
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Spring,Mist/Cloudy,Friday,Feb,2011,Working Day,9.124355999999999,7.130426,71.2174,23.218113
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Spring,Clear,Saturday,Feb,2011,Weekend/Holiday,5.277499999999998,2.6246720000000003,53.7917,12.500257
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Spring,Clear,Sunday,Feb,2011,Weekend/Holiday,8.143466,7.173193999999999,68.0,8.391615999999999
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Spring,Mist/Cloudy,Monday,Feb,2011,Working Day,11.141831,10.407787999999996,87.63640000000001,19.408962
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Spring,Clear,Tuesday,Mar,2011,Working Day,4.533348999999999,1.416013999999997,53.5,14.500475
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Spring,Clear,Wednesday,Mar,2011,Working Day,7.745000000000001,5.1246860000000005,44.9583,20.624811
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Spring,Clear,Thursday,Mar,2011,Working Day,1.321651000000001,-2.7912219999999994,31.833299999999998,15.125518000000001
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Spring,Mist/Cloudy,Friday,Mar,2011,Working Day,4.298349,0.8748140000000006,61.0417,13.624182
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Spring,Mist/Cloudy,Saturday,Mar,2011,Weekend/Holiday,10.055848999999998,8.999413999999998,78.91669999999999,16.875357
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Spring,Mist/Cloudy,Sunday,Mar,2011,Weekend/Holiday,9.696534,8.172632,94.8261,23.000229
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Spring,Clear,Monday,Mar,2011,Working Day,4.3017330000000005,-0.26157399999999953,55.1304,22.870584
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Spring,Clear,Tuesday,Mar,2011,Working Day,5.747499999999999,3.958400000000001,42.0833,8.083549999999999
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Spring,Mist/Cloudy,Wednesday,Mar,2011,Working Day,5.904151000000001,2.916127999999997,77.5417,14.750050000000002
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Spring,Light Rain/Snow,Thursday,Mar,2011,Working Day,10.287277,9.454088000000002,0.0,17.545759
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Spring,Mist/Cloudy,Friday,Mar,2011,Working Day,6.876534000000001,4.129999999999999,64.95649999999999,15.60899
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Spring,Clear,Saturday,Mar,2011,Weekend/Holiday,7.470848999999999,5.499499999999998,59.458299999999994,14.791924999999999
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Spring,Clear,Sunday,Mar,2011,Weekend/Holiday,10.064356,9.086006000000001,52.73910000000001,18.130468
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Spring,Clear,Monday,Mar,2011,Working Day,7.285198999999999,5.912000000000003,49.695699999999995,9.174042
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Spring,Mist/Cloudy,Tuesday,Mar,2011,Working Day,6.917376999999998,4.999748,65.5652,12.348703
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Spring,Mist/Cloudy,Wednesday,Mar,2011,Working Day,9.165199000000001,8.217379999999999,77.65220000000001,13.608839
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Spring,Clear,Thursday,Mar,2011,Working Day,11.504999999999999,11.081978,60.291700000000006,14.041792999999998
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Spring,Clear,Friday,Mar,2011,Working Day,17.380000000000003,18.782593999999996,52.5217,15.478139
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Spring,Clear,Saturday,Mar,2011,Weekend/Holiday,14.2075,14.790650000000003,37.9167,24.667189
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Spring,Clear,Sunday,Mar,2011,Weekend/Holiday,7.627500000000001,5.499499999999998,47.375,13.917307
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,Mist/Cloudy,Monday,Mar,2011,Working Day,12.230445,11.04251,73.73910000000001,19.348461
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,Clear,Tuesday,Mar,2011,Working Day,12.758348999999999,13.082372,62.4583,15.125250000000001
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,Mist/Cloudy,Wednesday,Mar,2011,Working Day,8.306979000000002,6.303974,83.9565,15.695487
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,Mist/Cloudy,Thursday,Mar,2011,Working Day,5.395,1.8749779999999987,80.58330000000001,16.333729
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,Clear,Friday,Mar,2011,Working Day,4.415849,0.9165919999999979,49.5,15.458575000000002
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,Clear,Saturday,Mar,2011,Weekend/Holiday,4.494150999999999,0.9996860000000005,39.4167,14.041257
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,Mist/Cloudy,Sunday,Mar,2011,Weekend/Holiday,3.893021000000001,0.5223739999999992,49.3913,12.348099999999999
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,Clear,Monday,Mar,2011,Working Day,4.424356000000001,0.9998840000000015,30.2174,14.217668
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,Clear,Tuesday,Mar,2011,Working Day,6.217499999999999,3.3319280000000013,31.4167,15.208732
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,Mist/Cloudy,Wednesday,Mar,2011,Working Day,6.1,3.6250999999999998,64.6667,11.583495999999998
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,Light Rain/Snow,Thursday,Mar,2011,Working Day,4.611651,0.9999499999999983,91.8333,14.582282000000001
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,Mist/Cloudy,Friday,Apr,2011,Working Day,6.1,2.7079640000000005,68.625,17.333436
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,Mist/Cloudy,Saturday,Apr,2011,Weekend/Holiday,6.805,4.832042000000001,65.375,13.208782
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,Clear,Sunday,Apr,2011,Weekend/Holiday,9.781651,8.998622000000001,48.0,12.208271000000002
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,Clear,Monday,Apr,2011,Working Day,18.946651,19.833314,42.625,25.833257
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,Mist/Cloudy,Tuesday,Apr,2011,Working Day,11.465848999999999,10.2911,64.2083,26.000488999999998
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,Clear,Wednesday,Apr,2011,Working Day,10.369150999999999,9.582128,47.0833,17.625221
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,Clear,Thursday,Apr,2011,Working Day,12.5625,12.623936,60.291700000000006,10.874904
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,Mist/Cloudy,Friday,Apr,2011,Working Day,7.784151,5.4156140000000015,83.625,15.208464
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,Mist/Cloudy,Saturday,Apr,2011,Weekend/Holiday,8.0975,6.540914000000001,87.75,8.916561
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,Mist/Cloudy,Sunday,Apr,2011,Weekend/Holiday,12.053349,12.164641999999997,85.75,9.833389
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,Mist/Cloudy,Monday,Apr,2011,Working Day,19.995644,21.304322,71.6956,21.739758
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,Mist/Cloudy,Tuesday,Apr,2011,Working Day,15.617499999999996,16.541564,73.9167,18.416892999999998
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,Mist/Cloudy,Wednesday,Apr,2011,Working Day,11.3875,11.540678,81.91669999999999,16.791338999999997
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,Clear,Thursday,Apr,2011,Working Day,13.9725,14.540972,54.041700000000006,7.4169
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,Clear,Friday,Apr,2011,Weekend/Holiday,12.993348999999998,13.166258,67.125,15.167124999999999
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,Light Rain/Snow,Saturday,Apr,2011,Weekend/Holiday,12.249151000000001,12.082472,88.83330000000001,22.834136
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,Clear,Sunday,Apr,2011,Weekend/Holiday,13.463349000000001,13.415935999999999,47.9583,20.334232
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,Clear,Monday,Apr,2011,Working Day,16.0875,17.207636,54.25,10.958988999999999
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,Mist/Cloudy,Tuesday,Apr,2011,Working Day,15.774151,16.291028000000004,66.5833,10.584057
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,Clear,Wednesday,Apr,2011,Working Day,19.965,21.249872000000003,61.4167,16.208975
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,Clear,Thursday,Apr,2011,Working Day,13.580849,13.956872,40.708299999999994,21.792286
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,Mist/Cloudy,Friday,Apr,2011,Working Day,7.823349,5.248964000000001,72.9583,14.707906999999999
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,Mist/Cloudy,Saturday,Apr,2011,Weekend/Holiday,13.620000000000001,13.707985999999998,88.79169999999999,15.458575000000002
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,Mist/Cloudy,Sunday,Apr,2011,Weekend/Holiday,19.338349,20.416358000000002,81.08330000000001,12.875725000000001
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,Clear,Monday,Apr,2011,Working Day,20.513348999999998,21.917,77.6667,12.417311
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,Clear,Tuesday,Apr,2011,Working Day,21.688349,23.209478000000004,72.9167,21.875500000000002
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,Mist/Cloudy,Wednesday,Apr,2011,Working Day,21.14,21.959372000000002,83.54169999999999,20.917399999999997
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,Mist/Cloudy,Thursday,Apr,2011,Working Day,21.0225,22.209314,70.08330000000001,21.500836000000003
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,Clear,Friday,Apr,2011,Working Day,15.969999999999999,16.832558,45.7083,16.084221
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,Clear,Saturday,Apr,2011,Weekend/Holiday,14.2075,14.625386000000002,50.3333,15.750025
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,Mist/Cloudy,Sunday,May,2011,Weekend/Holiday,13.228348999999998,13.581464,76.2083,7.125718
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,Mist/Cloudy,Monday,May,2011,Working Day,17.810848999999997,19.166978,73.0,12.291418
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,Mist/Cloudy,Tuesday,May,2011,Working Day,20.983348999999997,22.417214,69.7083,22.958689
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,Mist/Cloudy,Wednesday,May,2011,Working Day,11.465848999999999,10.706900000000001,73.70830000000001,22.042732
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,Clear,Thursday,May,2011,Working Day,13.580849,13.166522,44.4167,19.791263999999998
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,Clear,Friday,May,2011,Working Day,14.520849000000002,15.291722,59.0,15.292482
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,Clear,Saturday,May,2011,Weekend/Holiday,16.44,17.832986,54.125,10.750150000000001
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,Clear,Sunday,May,2011,Weekend/Holiday,16.831651,18.249578,63.1667,5.0007125
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,Clear,Monday,May,2011,Working Day,17.0275,18.666235999999998,58.875,11.792
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,Clear,Tuesday,May,2011,Working Day,17.0275,18.499586,48.9167,7.749956999999999
